At1g01790	K+ efflux antiporter 1
At1g01800	NAD(P)-binding Rossmann-fold superfamily protein
At1g01810	unknown protein
At1g01820	peroxin 11c
At1g01830	ARM repeat superfamily protein
At1g01840	unknown protein
At1g01860	Ribosomal RNA adenine dimethylase family protein
At1g01870	pre-tRNA
At1g01880	5'-3' exonuclease family protein
At1g01890	pre-tRNA
At1g01900	subtilase family protein
At1g01910	P-loop containing nucleoside triphosphate hydrolases superfamily protein
At1g01920	SET domain-containing protein
At1g01930	zinc finger protein-related
At1g01940	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
At1g01950	armadillo repeat kinesin 2
At1g01960	SEC7-like guanine nucleotide exchange family protein
At1g01970	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g01980	FAD-binding Berberine family protein
At1g01990	unknown protein
At1g02000	UDP-D-glucuronate 4-epimerase 2
At1g02010	secretory 1A
At1g02020	nitroreductase family protein
At1g02030	C2H2-like zinc finger protein
At1g02040	C2H2-type zinc finger family protein
At1g02050	Chalcone and stilbene synthase family protein
At1g02060	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g02065	squamosa promoter binding protein-like 8
At1g02070	unknown protein
At1g02074	unknown protein
At1g02080	transcription regulators
At1g02090	Proteasome component (PCI) domain protein
At1g02100	Leucine carboxyl methyltransferase
At1g02110	Protein of unknown function (DUF630 and DUF632)
At1g02120	GRAM domain family protein
At1g02130	RAS 5
At1g02136	pseudogene
At1g02140	mago nashi family protein
At1g02145	homolog of asparagine-linked glycosylation 12
At1g02150	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g02160	Cox19 family protein (CHCH motif)
At1g02170	metacaspase 1
At1g02180	ferredoxin-related
At1g02190	Fatty acid hydroxylase superfamily
At1g02205	Fatty acid hydroxylase superfamily
At1g02210	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
At1g02220	NAC domain containing protein 3
At1g02228	transposable element gene
At1g02230	NAC domain containing protein 4
At1g02250	NAC domain containing protein 5
At1g02260	Divalent ion symporter
At1g02270	Calcium-binding endonuclease/exonuclease/phosphatase family
At1g02280	translocon at the outer envelope membrane of chloroplasts 33
At1g02290	unknown protein
At1g02300	Cysteine proteinases superfamily protein
At1g02305	Cysteine proteinases superfamily protein
At1g02310	Glycosyl hydrolase superfamily protein
At1g02320	unknown protein
At1g02330	unknown protein
At1g02335	germin-like protein subfamily 2 member 2 precursor
At1g02340	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
At1g02350	protoporphyrinogen oxidase-related
At1g02360	Chitinase family protein
At1g02370	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g02380	unknown protein
At1g02390	glycerol-3-phosphate acyltransferase 2
At1g02391	unknown protein
At1g02400	gibberellin 2-oxidase 6
At1g02405	proline-rich family protein
At1g02410	cytochrome c oxidase assembly protein CtaG / Cox11 family
At1g02420	Pentatricopeptide repeat (PPR) superfamily protein
At1g02430	ADP-ribosylation factor D1B
At1g02440	ADP-ribosylation factor D1A
At1g02450	NIM1-interacting 1
At1g02460	Pectin lyase-like superfamily protein
At1g02470	Polyketide cyclase/dehydrase and lipid transport superfamily protein
At1g02475	Polyketide cyclase/dehydrase and lipid transport superfamily protein
At1g02480	pre-tRNA
At1g02490	unknown protein
At1g02500	S-adenosylmethionine synthetase 1
At1g02510	Outward rectifying potassium channel protein
At1g02520	P-glycoprotein 11
At1g02530	P-glycoprotein 12
At1g02540	unknown protein
At1g02550	Plant invertase/pectin methylesterase inhibitor superfamily protein
At1g02560	nuclear encoded CLP protease 5
At1g02570	unknown protein
At1g02575	unknown protein
At1g02580	SET domain-containing protein
At1g02590	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding protein
At1g02600	pre-tRNA
At1g02610	RING/FYVE/PHD zinc finger superfamily protein
At1g02620	Ras-related small GTP-binding family protein
At1g02630	Nucleoside transporter family protein
At1g02640	beta-xylosidase 2
At1g02650	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g02660	alpha/beta-Hydrolases superfamily protein
At1g02670	P-loop containing nucleoside triphosphate hydrolases superfamily protein
At1g02680	TBP-associated factor 13
At1g02681	pseudogene
At1g02690	importin alpha isoform 6
At1g02700	unknown protein
At1g02710	glycine-rich protein
At1g02720	galacturonosyltransferase 5
At1g02730	cellulose synthase-like D5
At1g02740	MRG family protein
At1g02750	Drought-responsive family protein
At1g02760	pre-tRNA
At1g02770	Protein of unknown function (DUF626)
At1g02780	Ribosomal protein L19e family protein
At1g02790	polygalacturonase 4
At1g02800	cellulase 2
At1g02810	Plant invertase/pectin methylesterase inhibitor superfamily
At1g02813	Protein of unknown function, DUF538
At1g02816	Protein of unknown function, DUF538
At1g02820	Late embryogenesis abundant 3 (LEA3) family protein
At1g02830	Ribosomal L22e protein family
At1g02840	RNA-binding (RRM/RBD/RNP motifs) family protein
At1g02850	beta glucosidase 11
At1g02860	SPX (SYG1/Pho81/XPR1) domain-containing protein
At1g02870	unknown protein
At1g02880	thiamin pyrophosphokinase1
At1g02890	AAA-type ATPase family protein
At1g02900	rapid alkalinization factor 1
At1g02910	tetratricopeptide repeat (TPR)-containing protein
At1g02920	glutathione S-transferase 7
At1g02930	glutathione S-transferase 6
At1g02940	glutathione S-transferase (class phi) 5
At1g02950	glutathione S-transferase F4
At1g02952	other RNA
At1g02960	unknown protein
At1g02965	unknown protein
At1g02970	WEE1 kinase homolog
At1g02980	cullin 2
At1g02990	unknown protein
At1g03000	peroxin 6
At1g03010	Phototropic-responsive NPH3 family protein
At1g03020	Thioredoxin superfamily protein
At1g03022	unknown protein
At1g03030	P-loop containing nucleoside triphosphate hydrolases superfamily protein
At1g03040	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
At1g03050	ENTH/ANTH/VHS superfamily protein
At1g03055	unknown protein
At1g03060	Beige/BEACH domain ;WD domain, G-beta repeat protein
At1g03070	Bax inhibitor-1 family protein
At1g03080	kinase interacting (KIP1-like) family protein
At1g03090	methylcrotonyl-CoA carboxylase alpha chain, mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA)
At1g03100	Pentatricopeptide repeat (PPR) superfamily protein
At1g03103	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
At1g03106	unknown protein
At1g03110	Transducin/WD40 repeat-like superfamily protein
At1g03120	responsive to abscisic acid 28
At1g03130	photosystem I subunit D-2
At1g03140	splicing factor Prp18 family protein
At1g03150	Acyl-CoA N-acyltransferases (NAT) superfamily protein
At1g03160	FZO-like
At1g03170	Protein of unknown function (DUF3049)
At1g03180	unknown protein
At1g03190	RAD3-like DNA-binding helicase protein
At1g03200	unknown protein
At1g03210	Phenazine biosynthesis PhzC/PhzF protein
At1g03220	Eukaryotic aspartyl protease family protein
At1g03230	Eukaryotic aspartyl protease family protein
At1g03240	unknown protein
At1g03250	unknown protein
At1g03260	SNARE associated Golgi protein family
At1g03270	CBS domain-containing protein with a domain of unknown function (DUF21)
At1g03280	Transcription factor TFIIE, alpha subunit
At1g03290	unknown protein
At1g03300	DOMAIN OF UNKNOWN FUNCTION 724 1
At1g03310	debranching enzyme 1
At1g03320	unknown protein
At1g03330	Small nuclear ribonucleoprotein family protein
At1g03340	unknown protein
At1g03350	BSD domain-containing protein
At1g03360	ribosomal RNA processing 4
At1g03365	RING/U-box superfamily protein
At1g03370	C2 calcium/lipid-binding and GRAM domain containing protein
At1g03380	homolog of yeast autophagy 18 (ATG18) G
At1g03390	HXXXD-type acyl-transferase family protein
At1g03400	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
At1g03410	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
At1g03420	transposable element gene
At1g03430	histidine-containing phosphotransfer factor 5
At1g03440	Leucine-rich repeat (LRR) family protein
At1g03445	Serine/threonine protein phosphatase family protein
At1g03457	RNA-binding (RRM/RBD/RNP motifs) family protein
At1g03470	Kinase interacting (KIP1-like) family protein
At1g03475	Coproporphyrinogen III oxidase
At1g03490	NAC domain containing protein 6
At1g03495	HXXXD-type acyl-transferase family protein
At1g03502	snoRNA
At1g03506	snoRNA
At1g03510	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g03515	pre-tRNA
At1g03520	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
At1g03530	nuclear assembly factor 1
At1g03540	Pentatricopeptide repeat (PPR-like) superfamily protein
At1g03545	unknown protein
At1g03550	Secretory carrier membrane protein (SCAMP) family protein
At1g03560	Pentatricopeptide repeat (PPR-like) superfamily protein
At1g03570	pre-tRNA
At1g03580	pseudogene
At1g03590	Protein phosphatase 2C family protein
At1g03600	photosystem II family protein
At1g03610	Protein of unknown function (DUF789)
At1g03620	ELMO/CED-12 family protein
At1g03630	protochlorophyllide oxidoreductase C
At1g03640	pre-tRNA
At1g03650	Acyl-CoA N-acyltransferases (NAT) superfamily protein
At1g03660	Ankyrin-repeat containing protein
At1g03670	ankyrin repeat family protein
At1g03680	thioredoxin M-type 1
At1g03687	DTW domain-containing protein
At1g03700	Uncharacterised protein family (UPF0497)
At1g03710	Cystatin/monellin superfamily protein
At1g03720	Cysteine proteinases superfamily protein
At1g03730	unknown protein
At1g03740	Protein kinase superfamily protein
At1g03743	snoRNA
At1g03746	snoRNA
At1g03750	switch 2
At1g03760	Prefoldin chaperone subunit family protein
At1g03770	RING 1B
At1g03780	targeting protein for XKLP2
At1g03790	Zinc finger C-x8-C-x5-C-x3-H type family protein
At1g03800	ERF domain protein 10
At1g03810	Nucleic acid-binding, OB-fold-like protein
At1g03820	unknown protein
At1g03830	guanylate-binding family protein
At1g03840	C2H2 and C2HC zinc fingers superfamily protein
At1g03850	Glutaredoxin family protein
At1g03860	prohibitin 2
At1g03870	FASCICLIN-like arabinoogalactan 9
At1g03880	cruciferin 2
At1g03890	RmlC-like cupins superfamily protein
At1g03900	non-intrinsic ABC protein 4
At1g03905	P-loop containing nucleoside triphosphate hydrolases superfamily protein
At1g03910	unknown protein
At1g03920	Protein kinase family protein
At1g03930	dual specificity kinase 1
At1g03935	snoRNA
At1g03940	HXXXD-type acyl-transferase family protein
At1g03950	vacuolar protein sorting-associated protein 2.3
At1g03960	Calcium-binding EF hand family protein
At1g03970	G-box binding factor 4
At1g03980	phytochelatin synthase 2
At1g03982	PAK-box/P21-Rho-binding family protein
At1g03990	Long-chain fatty alcohol dehydrogenase family protein
At1g04000	unknown protein
At1g04010	phospholipid sterol acyl transferase 1
At1g04020	breast cancer associated RING 1
At1g04030	unknown protein
At1g04040	HAD superfamily, subfamily IIIB acid phosphatase 
At1g04050	homolog of SU(var)3-9 1
At1g04070	translocase of outer membrane 22-I
At1g04080	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g04090	Plant protein of unknown function (DUF946)
At1g04100	indoleacetic acid-induced protein 10
At1g04110	Subtilase family protein
At1g04120	multidrug resistance-associated protein 5
At1g04130	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g04140	Transducin family protein / WD-40 repeat family protein
At1g04150	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
At1g04160	myosin XI B
At1g04170	eukaryotic translation initiation factor 2 gamma subunit
At1g04171	unknown protein
At1g04180	YUCCA 9
At1g04190	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g04200	unknown protein
At1g04210	Leucine-rich repeat protein kinase family protein
At1g04220	3-ketoacyl-CoA synthase 2
At1g04230	Protein of unknown function (DUF2361)
At1g04240	AUX/IAA transcriptional regulator family protein
At1g04250	AUX/IAA transcriptional regulator family protein
At1g04260	CAMV movement protein interacting protein 7
At1g04270	cytosolic ribosomal protein S15
At1g04280	P-loop containing nucleoside triphosphate hydrolases superfamily protein
At1g04290	Thioesterase superfamily protein
At1g04295	other RNA
At1g04300	TRAF-like superfamily protein
At1g04310	ethylene response sensor 2
At1g04320	pre-tRNA
At1g04330	unknown protein
At1g04340	HR-like lesion-inducing protein-related
At1g04350	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
At1g04360	RING/U-box superfamily protein
At1g04370	Ethylene-responsive element binding factor 14
At1g04380	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
At1g04390	BTB/POZ domain-containing protein
At1g04400	cryptochrome 2
At1g04410	Lactate/malate dehydrogenase family protein
At1g04420	NAD(P)-linked oxidoreductase superfamily protein
At1g04425	other RNA
At1g04430	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
At1g04440	casein kinase like 13
At1g04445	C2H2-like zinc finger protein
At1g04450	ROP-interactive CRIB motif-containing protein 3
At1g04457	pseudogene
At1g04470	Protein of unknown function (DUF810)
At1g04480	Ribosomal protein L14p/L23e family protein
At1g04490	Protein of unknown function (DUF3527)
At1g04500	CCT motif family protein
At1g04501	unknown protein
At1g04510	MOS4-associated complex 3A
At1g04520	plasmodesmata-located protein 2
At1g04530	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g04540	Calcium-dependent lipid-binding (CaLB domain) family protein
At1g04550	AUX/IAA transcriptional regulator family protein
At1g04555	unknown protein
At1g04560	AWPM-19-like family protein
At1g04570	Major facilitator superfamily protein
At1g04580	aldehyde oxidase 4
At1g04590	unknown protein
At1g04600	myosin XI A
At1g04610	YUCCA 3
At1g04620	coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family
At1g04625	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
At1g04630	GRIM-19 protein
At1g04635	ribonuclease P family protein / Rpp14 family protein
At1g04640	lipoyltransferase 2
At1g04645	Plant self-incompatibility protein S1 family
At1g04650	unknown protein
At1g04660	glycine-rich protein
At1g04670	unknown protein
At1g04680	Pectin lyase-like superfamily protein
At1g04684	unknown protein
At1g04690	potassium channel beta subunit 1
At1g04700	PB1 domain-containing protein tyrosine kinase
At1g04710	peroxisomal 3-ketoacyl-CoA thiolase 4
At1g04720	pre-tRNA
At1g04730	P-loop containing nucleoside triphosphate hydrolases superfamily protein
At1g04750	vesicle-associated membrane protein 721
At1g04760	vesicle-associated membrane protein 726
At1g04770	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g04778	unknown protein
At1g04780	Ankyrin repeat family protein
At1g04790	RING/U-box superfamily protein
At1g04800	glycine-rich protein
At1g04810	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit
At1g04820	tubulin alpha-4 chain
At1g04830	Ypt/Rab-GAP domain of gyp1p superfamily protein
At1g04840	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g04850	ubiquitin-associated (UBA)/TS-N domain-containing protein
At1g04860	ubiquitin-specific protease 2
At1g04870	protein arginine methyltransferase 10
At1g04880	HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain
At1g04890	Protein of unknown function, DUF593
At1g04900	Protein of unknown function (DUF185)
At1g04910	O-fucosyltransferase family protein
At1g04920	sucrose phosphate synthase 3F
At1g04930	hydroxyproline-rich glycoprotein family protein
At1g04940	translocon at the inner envelope membrane of chloroplasts 20
At1g04945	HIT-type Zinc finger family protein
At1g04950	TATA BOX ASSOCIATED FACTOR II 59
At1g04960	Protein of unknown function (DUF1664)
At1g04970	lipid-binding serum glycoprotein family protein
At1g04980	PDI-like 2-2
At1g04985	unknown protein
At1g04990	Zinc finger C-x8-C-x5-C-x3-H type family protein
At1g05000	Phosphotyrosine protein phosphatases superfamily protein
At1g05010	ethylene-forming enzyme
At1g05020	ENTH/ANTH/VHS superfamily protein
At1g05030	Major facilitator superfamily protein
At1g05040	unknown protein
At1g05055	general transcription factor II H2
At1g05060	unknown protein
At1g05061	pseudogene
At1g05065	CLAVATA3/ESR-RELATED 20
At1g05070	Protein of unknown function (DUF1068)
At1g05080	F-box/RNI-like/FBD-like domains-containing protein
At1g05085	unknown protein
At1g05090	dentin sialophosphoprotein-related
At1g05100	mitogen-activated protein kinase kinase kinase 18
At1g05120	Helicase protein with RING/U-box domain
At1g05135	pseudogene
At1g05136	unknown protein
At1g05140	Peptidase M50 family protein
At1g05150	Calcium-binding tetratricopeptide family protein
At1g05160	cytochrome P450, family 88, subfamily A, polypeptide 3
At1g05170	Galactosyltransferase family protein
At1g05180	NAD(P)-binding Rossmann-fold superfamily protein
At1g05190	Ribosomal protein L6 family
At1g05200	glutamate receptor 3.4
At1g05205	unknown protein
At1g05210	Transmembrane protein 97, predicted
At1g05220	Transmembrane protein 97, predicted
At1g05230	homeodomain GLABROUS 2
At1g05240	Peroxidase superfamily protein
At1g05250	Peroxidase superfamily protein
At1g05260	Peroxidase superfamily protein
At1g05270	TraB family protein
At1g05280	Protein of unknown function (DUF604)
At1g05290	CCT motif family protein
At1g05291	Protein of unknown function (DUF1218)
At1g05300	zinc transporter 5 precursor
At1g05310	Pectin lyase-like superfamily protein
At1g05320	unknown protein
At1g05330	unknown protein
At1g05340	unknown protein
At1g05350	NAD(P)-binding Rossmann-fold superfamily protein
At1g05360	unknown protein
At1g05370	Sec14p-like phosphatidylinositol transfer family protein
At1g05380	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein
At1g05385	photosystem II 11 kDa protein-related
At1g05390	pre-tRNA
At1g05400	unknown protein
At1g05410	Protein of unknown function (DUF1423)
At1g05420	ovate family protein 12
At1g05430	unknown protein
At1g05440	C-8 sterol isomerases
At1g05450	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
At1g05460	P-loop containing nucleoside triphosphate hydrolases superfamily protein
At1g05470	DNAse I-like superfamily protein
At1g05490	chromatin remodeling 31
At1g05500	Calcium-dependent lipid-binding (CaLB domain) family protein
At1g05510	Protein of unknown function (DUF1264)
At1g05520	Sec23/Sec24 protein transport family protein
At1g05530	UDP-glucosyl transferase 75B2
At1g05540	Protein of unknown function (DUF295)
At1g05550	Protein of unknown function (DUF295)
At1g05560	UDP-glucosyltransferase 75B1
At1g05562	unknown protein
At1g05570	callose synthase 1
At1g05575	unknown protein
At1g05577	Domain of unknown function (DUF966)
At1g05580	cation/H+ exchanger 23
At1g05590	beta-hexosaminidase 2
At1g05600	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g05610	ADP-glucose pyrophosphorylase small subunit 2
At1g05615	Domain of unknown function (DUF313) 
At1g05620	uridine-ribohydrolase 2
At1g05630	Endonuclease/exonuclease/phosphatase family protein
At1g05640	Ankyrin repeat family protein
At1g05650	Pectin lyase-like superfamily protein
At1g05660	Pectin lyase-like superfamily protein
At1g05670	Pentatricopeptide repeat (PPR-like) superfamily protein
At1g05675	UDP-Glycosyltransferase superfamily protein
At1g05680	Uridine diphosphate glycosyltransferase 74E2
At1g05690	BTB and TAZ domain protein 3
At1g05700	Leucine-rich repeat transmembrane protein kinase protein
At1g05710	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
At1g05720	selenoprotein family protein
At1g05730	Eukaryotic protein of unknown function (DUF842)
At1g05740	Eukaryotic protein of unknown function (DUF842)
At1g05750	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g05760	Mannose-binding lectin superfamily protein
At1g05770	Mannose-binding lectin superfamily protein
At1g05780	Vacuolar ATPase assembly integral membrane protein VMA21-like domain
At1g05785	Got1/Sft2-like vescicle transport protein family
At1g05790	lipase class 3 family protein
At1g05800	alpha/beta-Hydrolases superfamily protein
At1g05805	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
At1g05810	RAB GTPase homolog A5E
At1g05820	SIGNAL PEPTIDE PEPTIDASE-LIKE 5
At1g05830	trithorax-like protein 2
At1g05835	PHD finger protein
At1g05840	Eukaryotic aspartyl protease family protein
At1g05850	Chitinase family protein
At1g05860	unknown protein
At1g05870	Protein of unknown function (DUF1685)
At1g05880	RING/U-box superfamily protein
At1g05890	RING/U-box superfamily protein
At1g05894	unknown protein
At1g05900	endonuclease III 2
At1g05910	cell division cycle protein 48-related / CDC48-related
At1g05920	Domain of unknown function (DUF313) 
At1g05925	unknown protein
At1g05930	Domain of unknown function (DUF313) 
At1g05940	cationic amino acid transporter 9
At1g05950	unknown protein
At1g05960	ARM repeat superfamily protein
At1g05970	RNA-binding (RRM/RBD/RNP motifs) family protein
At1g05980	pre-tRNA
At1g05990	EF hand calcium-binding protein family
At1g06000	UDP-Glycosyltransferase superfamily protein
At1g06002	unknown protein
At1g06010	unknown protein
At1g06020	pfkB-like carbohydrate kinase family protein
At1g06030	pfkB-like carbohydrate kinase family protein
At1g06040	B-box zinc finger family protein
At1g06050	Protein of unknown function (DUF1336)
At1g06060	LisH and RanBPM domains containing protein
At1g06070	Basic-leucine zipper (bZIP) transcription factor family protein
At1g06080	delta 9 desaturase 1
At1g06090	Fatty acid desaturase family protein
At1g06100	Fatty acid desaturase family protein
At1g06110	SKP1/ASK-interacting protein 16
At1g06120	Fatty acid desaturase family protein
At1g06130	glyoxalase 2-4
At1g06135	unknown protein
At1g06137	unknown protein
At1g06140	Pentatricopeptide repeat (PPR) superfamily protein
At1g06148	unknown protein
At1g06149	conserved peptide upstream open reading frame 8
At1g06150	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
At1g06160	octadecanoid-responsive Arabidopsis AP2/ERF 59
At1g06170	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
At1g06180	myb domain protein 13
At1g06190	Rho termination factor
At1g06200	Peptidase S24/S26A/S26B/S26C family protein
At1g06210	ENTH/VHS/GAT family protein
At1g06220	Ribosomal protein S5/Elongation factor G/III/V family protein
At1g06225	CLAVATA3/ESR-RELATED 3
At1g06230	global transcription factor group E4
At1g06240	Protein of unknown function DUF455
At1g06250	alpha/beta-Hydrolases superfamily protein
At1g06260	Cysteine proteinases superfamily protein
At1g06265	other RNA
At1g06270	Pentatricopeptide repeat (PPR) superfamily protein
At1g06280	LOB domain-containing protein 2
At1g06290	acyl-CoA oxidase 3
At1g06310	acyl-CoA oxidase 6
At1g06320	unknown protein
At1g06330	Heavy metal transport/detoxification superfamily protein 
At1g06340	Plant Tudor-like protein
At1g06350	Fatty acid desaturase family protein
At1g06360	Fatty acid desaturase family protein
At1g06370	pseudogene
At1g06380	Ribosomal protein L1p/L10e family
At1g06390	GSK3/SHAGGY-like protein kinase 1
At1g06400	Ras-related small GTP-binding family protein
At1g06410	trehalose-phosphatase/synthase 7
At1g06420	unknown protein
At1g06430	FTSH protease 8
At1g06440	Ubiquitin carboxyl-terminal hydrolase family protein
At1g06450	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
At1g06460	alpha-crystallin domain 32.1
At1g06470	Nucleotide/sugar transporter family protein
At1g06475	unknown protein
At1g06480	pre-tRNA
At1g06490	glucan synthase-like 7
At1g06500	unknown protein
At1g06510	unknown protein
At1g06515	Protein of unknown function (DUF3317)
At1g06520	glycerol-3-phosphate acyltransferase 1
At1g06530	Tropomyosin-related
At1g06540	unknown protein
At1g06550	ATP-dependent caseinolytic (Clp) protease/crotonase family protein
At1g06560	NOL1/NOP2/sun family protein
At1g06570	phytoene desaturation 1
At1g06580	Pentatricopeptide repeat (PPR) superfamily protein
At1g06590	unknown protein
At1g06610	pre-tRNA
At1g06620	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
At1g06630	F-box/RNI-like superfamily protein
At1g06640	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
At1g06645	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
At1g06650	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
At1g06660	unknown protein
At1g06670	nuclear DEIH-boxhelicase
At1g06680	photosystem II subunit P-1
At1g06690	NAD(P)-linked oxidoreductase superfamily protein
At1g06700	Protein kinase superfamily protein
At1g06710	Tetratricopeptide repeat (TPR)-like superfamily protein
At1g06720	P-loop containing nucleoside triphosphate hydrolases superfamily protein
